序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期
1,5826,太子行旅,臺南市,中西區,旅館,臺南市中西區友愛街349號(2-5樓)、康樂街82號(1樓門廳及接待處),06-2289171,,https://maps.google.com/?cid=9686039235760198142,4.7,9787,300,11592,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
2,1768,單人房 SINGLE INN-站前館,高雄市,新興區,旅館,高雄市新興區八德一路392號,07-2363256,http://www.singleinn.com.tw/,https://maps.google.com/?cid=10151517148533788450,4.6,4619,300,4032,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
3,17613,米力旅店,臺中市,西屯區,旅館,臺中市西屯區福星北一街15號,04-27073777,,https://maps.google.com/?cid=13428625759862786979,4.2,4214,300,10620,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
4,779,SINGLE INN單人房,高雄市,新興區,旅館,高雄市新興區林森一路267號地下一樓,07-2363256,,https://maps.google.com/?cid=13574361105786221478,4.4,3500,300,22032,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
5,4751,南元休閒農場湖上渡假村,臺南市,柳營區,旅館,臺南市柳營區果毅里南湖25號,06-6990726,http://www.nanyuanfarm.com.tw/,https://maps.google.com/?cid=379258245207996612,3.9,2895,300,18000,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
6,12956,揚昇山莊,桃園市,楊梅區,旅館,桃園市楊梅區楊昇路256號1-3樓,03-4780099,http://www.sunrise-golf.com.tw,https://maps.google.com/?cid=7524677766804856660,4.3,2850,300,100800,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
7,20085,花蓮假期飯店,花蓮縣,花蓮市,旅館,花蓮縣花蓮市主力里1鄰中華路231號,03-8360099,https://www.3hhotel.com/,https://maps.google.com/?cid=10970630092737321468,4.2,2775,300,13500,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
8,10627,夢想森林親子民宿,宜蘭縣,三星鄉,民宿,宜蘭縣三星鄉大德路二段613號,0935155628-,http://www.dreamforest-bnb.tw/,https://maps.google.com/?cid=3373131342185981683,5.0,1396,300,10800,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
9,5527,童年松花民宿,嘉義縣,番路鄉,民宿,嘉義縣番路鄉下坑村下坑45之18號,05-2590536,,https://maps.google.com/?cid=10091017614399115209,3.7,1285,300,7200,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
10,33101,煙波大飯店花蓮太魯閣山闊館,花蓮縣,新城鄉,旅館,花蓮縣新城鄉順安村6鄰草林10之7號,03-8612000,https://www.lakeshore.com.tw/,https://maps.google.com/?cid=365045049246792813,4.8,1255,300,33660,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
