序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期,備註
129,28899,晴鎖港灣民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市鎖港里1鄰鎖港一路73巷27弄12號,0908797588,,https://maps.google.com/?cid=13986280917210954374,5.0,274,300,6300,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
130,516,海墘民宿,屏東縣,琉球鄉,民宿,屏東縣琉球鄉三民路28號,08-8614263,,https://maps.google.com/?cid=10191548925133111854,4.4,272,300,2520,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
131,5772,飛螢農莊,苗栗縣,通霄鎮,民宿,苗栗縣通霄鎮福興里11鄰福興126號,037-783371,,https://maps.google.com/?cid=3942663641993580562,4.1,272,300,3780,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
132,31629,藍海之丘民宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮白沙路26-6號,0937279099-,http://www.blueoceanhill.com/,https://maps.google.com/?cid=9650762508556291061,4.6,271,300,6120,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
133,5534,雲那裡民宿,花蓮縣,吉安鄉,民宿,花蓮縣吉安鄉干城村吉安路六段646巷8號,091969807803-8546912,,https://maps.google.com/?cid=13984731363697221578,5.0,271,300,7200,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
134,13407,盤古拉渡假花園民宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮埔頂路525號,08-8851688,,https://maps.google.com/?cid=6186914438100264634,4.4,271,300,7020,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
135,36613,壹貳貳洋樓,嘉義市,東區,民宿,嘉義市東區國華街122號,090501810105-2228101,https://booking.owlting.com/mansion122?start=2024-12-31&end=2025-01-01&lang=zh_TW&adult=1&child=0&infant=0,https://maps.google.com/?cid=2032686828125829520,4.9,270,300,8820,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
136,19181,有水巷渡假民宿,南投縣,魚池鄉,民宿,南投縣魚池鄉中明村有水巷28-17號,0923383706-,,https://maps.google.com/?cid=11482298714426275651,4.7,268,300,4950,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
137,33614,甘丹民宿,苗栗縣,三義鄉,民宿,苗栗縣三義鄉双湖村15鄰双湖7之11號,0978275231-,,https://maps.google.com/?cid=12525173081260899688,4.8,268,300,4500,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
138,25900,沙戀民宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮南灣路林森巷22號,0937917298,,https://maps.google.com/?cid=11942823425331806972,4.9,267,300,9900,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
