序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期,備註
449,3653,伯爵民宿,金門縣,金湖鎮,民宿,金門縣金湖鎮新湖里塔后47-11號,0929232773082-331771,,https://maps.google.com/?cid=16034481091556121998,4.5,21,300,4050,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
450,28115,閒雲小居會館,臺中市,中區,旅館,臺中市中區繼光街123號2至6樓,04-22252080,,https://maps.google.com/?cid=14415603051677281859,4.7,21,300,8640,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
451,13214,玉榮府,金門縣,金寧鄉,民宿,金門縣金寧鄉盤山村下堡47號,0910394377082-311687,,https://maps.google.com/?cid=7535289011745823880,3.9,20,300,3600,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
452,34641,海寓所民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市鎖港里鎖港六路195號,0922137751-,,https://maps.google.com/?cid=9130792175081241650,5,19,300,10800,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
453,4274,高橋飯店,嘉義市,西區,旅館,嘉義市西區自強里新民路784之1號,05-2852121,http://www.hotelhi.com.tw,https://maps.google.com/?cid=18053132334472679359,3.9,19,300,15120,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
454,35369,六宿樲館,臺南市,中西區,民宿,臺南市中西區衛民街106號之30,0919768515-,https://www.facebook.com/liuxu2020,https://maps.google.com/?cid=15440945465086264080,4.7,19,300,5400,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
455,27568,水管民宿,花蓮縣,吉安鄉,民宿,花蓮縣吉安鄉南昌村16鄰中山路二段145巷25號,0983263320-,,https://maps.google.com/?cid=6985083308048764344,3.8,19,300,5940,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
456,35844,朋友家民宿,屏東縣,車城鄉,民宿,屏東縣車城鄉忠孝路96巷4號,0905865573-,,https://maps.google.com/?cid=2266501683524315255,5,19,300,3305,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
457,36558,杉嶼民宿,新北市,瑞芳區,民宿,新北市瑞芳區街頂巷34之1號,0935735172-,,https://maps.google.com/?cid=10052736516261435216,4.9,18,300,7380,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
458,35216,大湖一品苑,苗栗縣,大湖鄉,民宿,苗栗縣大湖鄉靜湖村5鄰和平路12號,0961068553-,https://www.dahuyipinyuan.com,https://maps.google.com/?cid=11163915425982026284,4.4,18,300,7200,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
459,38126,木木杉民宿,南投縣,埔里鎮,民宿,南投縣埔里鎮桃米里7鄰種瓜路6號,0937277913-,,https://maps.google.com/?cid=13276140286828994543,5,17,300,7200,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
460,31282,大魚漫步旅店,臺南市,安平區,旅館,臺南市安平區平通里27鄰育平八街146號,0980158826,,https://maps.google.com/?cid=86391854410548433,4.3,17,300,8100,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
461,36366,日月戀海民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市國盛里26鄰國盛七街41號,093204665403-8325762,,https://maps.google.com/?cid=8805731015797179981,5,16,300,4050,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
462,38735,緩寓,新北市,瑞芳區,民宿,新北市瑞芳區烏勢巷57號,0918035172-,,https://maps.google.com/?cid=12011360240899555640,5,16,300,5220,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
463,16465,晴旅府中館,新北市,板橋區,旅館,新北市板橋區南雅南路一段8號5樓、5樓之1至5樓之24,097931910902-29655480,,https://maps.google.com/?cid=7304992351761845354,4.5,15,300,31500,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
464,35599,37彎民宿,嘉義縣,梅山鄉,民宿,嘉義縣梅山鄉太平村下坑仔3號,091060569005-2571189,,https://maps.google.com/?cid=9528694165462700282,5,15,300,6840,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
465,19576,墾丁恆美111旅宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆西路33巷111號,08-8899298,,https://maps.google.com/?cid=5202315800871453667,4.4,15,300,3870,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
466,34552,近山左民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市國福里6鄰沙基拉雅街98之1號,0922238350-,,https://maps.google.com/?cid=16840202384287376532,4.8,13,300,9000,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
467,34979,近山右民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市國福里6鄰沙基拉雅街98號,0966891367-,,https://maps.google.com/?cid=16840202384287376532,4.8,13,300,9000,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
468,38628,海顏民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市光華里3鄰光華123之8號,0956742161-,,https://maps.google.com/?cid=721928723732277128,5,13,300,4500,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
469,35280,裏島,臺南市,中西區,民宿,臺南市中西區大同路一段46巷24號,0912113567-,,https://maps.google.com/?cid=11132633194161799055,4.6,13,300,4950,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
470,22134,放慢民宿,花蓮縣,花蓮市,民宿,花蓮縣花蓮市中原路394巷26號,0918224659,http://www.haiyan.tw,https://maps.google.com/?cid=15644249495265711656,4.8,12,300,3150,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
