序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期
65,28940,羅東好民宿,宜蘭縣,羅東鎮,民宿,宜蘭縣羅東鎮北投街81號,0970091667,,https://maps.google.com/?cid=11953134359514594419,5.0,388,300,4500,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
66,26995,風海山會館,屏東縣,恆春鎮,民宿,屏東縣恆春鎮環城北路120號,0975297807-,https://www.windseahillinn.com/,https://maps.google.com/?cid=8729378846499897869,5.0,384,300,5400,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
67,31313,裏白VILLA民宿,宜蘭縣,冬山鄉,民宿,宜蘭縣冬山鄉丸山二路31號,0933245113-,,https://maps.google.com/?cid=13935066157980755059,5.0,380,300,21600,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
68,35934,粨倉文旅,雲林縣,西螺鎮,民宿,雲林縣西螺鎮延平路89號,0988096533-,,https://maps.google.com/?cid=12720967894423921008,4.9,373,300,7740,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
69,35833,彰化華宿文旅,彰化縣,彰化市,旅館,彰化縣彰化市中興路19號,0970287068-,,https://maps.google.com/?cid=10668679327170116908,4.8,371,300,13500,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
70,33487,安樓文旅,基隆市,仁愛區,民宿,基隆市仁愛區仁三路11-4號,02-24250220,,https://maps.google.com/?cid=9387234548940407723,4.9,369,300,4725,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
71,18297,山水屋民宿,新竹縣,北埔鄉,民宿,新竹縣北埔鄉南坑村9鄰大南坑7-7號,03-5802888,,https://maps.google.com/?cid=1617856748803482598,4.6,367,300,7380,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
72,30106,埔里城民宿,南投縣,埔里鎮,民宿,南投縣埔里鎮北梅里西安路一段306號,0965313831-,,https://maps.google.com/?cid=488953535431505138,4.2,365,300,5400,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
73,14414,立霧左邨民宿,花蓮縣,秀林鄉,民宿,花蓮縣秀林鄉崇德村崇德198之15號,03-8621511,,https://maps.google.com/?cid=1513014361513871901,4.8,364,300,5760,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-24
74,17851,嚨口秘境古厝民宿,金門縣,金寧鄉,民宿,金門縣金寧鄉嚨口16、18號,0966698973-,,https://maps.google.com/?cid=15022461197634114431,4.9,362,300,3600,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-24
