序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期,備註
321,18051,三義行館,苗栗縣,三義鄉,民宿,苗栗縣三義鄉廣盛村41鄰八股路館前8巷1之19號,0919218244,,https://maps.google.com/?cid=9435175063201660552,3.4,87,300,5040,2026-09-01,2026-09-02,2,,,,,,
322,16710,稻香緣民宿,花蓮縣,吉安鄉,民宿,花蓮縣吉安鄉稻香村稻興二街109號,091291211503-8532377,http://www.psminshuku.com/,https://maps.google.com/?cid=11100831484975171028,4.9,87,300,8550,2026-09-01,2026-09-02,2,,,,,,
323,37569,小鳳民宿,臺東縣,關山鎮,民宿,臺東縣關山鎮中華路40巷7號,0984099726-,,https://maps.google.com/?cid=7825231862601862843,4.9,87,300,4320,2026-09-01,2026-09-02,2,,,,,,
324,15161,蘭心山莊民宿,屏東縣,枋寮鄉,民宿,屏東縣枋寮鄉中正大路666-2號,08-8712951,,https://maps.google.com/?cid=7884379895913187643,4.5,86,300,3150,2026-09-01,2026-09-02,2,,,,,,
325,25850,瑞恒行館民宿,嘉義縣,布袋鎮,民宿,嘉義縣布袋鎮興中里1鄰後寮路72巷35號,0905098468-,https://guest-house-online.com/,https://maps.google.com/?cid=4542389212730540458,4.6,85,300,4680,2026-09-01,2026-09-02,2,,,,,,
326,35405,神隱之月民宿,新北市,瑞芳區,民宿,新北市瑞芳區洞頂路253號,0905788650-,,https://maps.google.com/?cid=17538805610021579125,4.8,85,300,27000,2026-09-01,2026-09-02,2,,,,,,
327,4683,嵵裡。仙人掌海景民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市嵵裡里11鄰嵵裡290號,0963563256-,,https://maps.google.com/?cid=4645540126925991884,4.8,82,300,9900,2026-09-01,2026-09-02,2,,,,,,
328,22677,柯林小屋,宜蘭縣,冬山鄉,民宿,宜蘭縣冬山鄉柯林二路325號,0918489022,https://www.facebook.com/groups/914476268604565/,https://maps.google.com/?cid=5400328799378448803,4.8,82,300,3600,2026-09-01,2026-09-02,2,,,,,,
329,4554,統一的家民宿,花蓮縣,吉安鄉,民宿,花蓮縣吉安鄉勝安村16鄰中原路一段418號,0912489038-,http://tongyihomestay.com.tw/,https://maps.google.com/?cid=10434677364748935756,4.4,82,300,6300,2026-09-01,2026-09-02,2,,,,,,
330,28341,六宿,臺南市,北區,民宿,臺南市北區公園北路116巷7-1號,0919768515-,,https://maps.google.com/?cid=5515884878528086859,4.8,81,300,3600,2026-09-01,2026-09-02,2,,,,,,
331,37286,白袍斜老,南投縣,竹山鎮,民宿,南投縣竹山鎮雲林里16鄰大明路525巷16號,0958988586-,,https://maps.google.com/?cid=13320393184903178626,5,81,300,7200,2026-09-01,2026-09-02,2,,,,,,
332,32948,八八古藝悅禾民宿,金門縣,金寧鄉,民宿,金門縣金寧鄉下堡12之5號,0910394377,,https://maps.google.com/?cid=6467079793168283233,5,80,300,3150,2026-09-01,2026-09-02,2,,,,,,
333,32728,暮石民宿,新北市,瑞芳區,民宿,新北市瑞芳區烏勢巷50號,0983027257-,,https://maps.google.com/?cid=17271510700798673640,4.8,80,300,14220,2026-09-01,2026-09-02,2,,,,,,
334,14087,荷比8號電梯民宿,臺東縣,臺東市,民宿,臺東縣臺東市中興路三段275巷46弄8號,0955171545-,,https://maps.google.com/?cid=8662718866200890086,4.9,80,300,5220,2026-09-01,2026-09-02,2,,,,,,
335,35191,煦樂軒古厝民宿,金門縣,金沙鎮,民宿,金門縣金沙鎮田墩11號,0988395294-,,https://maps.google.com/?cid=12820289021148711802,5,79,300,5940,2026-09-01,2026-09-02,2,,,,,,
336,34406,東北季豐民宿,澎湖縣,湖西鄉,民宿,澎湖縣湖西鄉隘門村95之1號2樓,0977380996-,,https://maps.google.com/?cid=6389371332923023690,5,79,300,2880,2026-09-01,2026-09-02,2,,,,,,
337,31168,藍月亮民宿,臺東縣,關山鎮,民宿,臺東縣關山鎮豐泉里平等路66號,0930912688,,https://maps.google.com/?cid=2262935539660648835,4.9,78,300,7200,2026-09-01,2026-09-02,2,,,,,,
338,31169,微笑太陽民宿,臺東縣,關山鎮,民宿,臺東縣關山鎮豐泉里3鄰平等路62號,0911316621,,https://maps.google.com/?cid=2262935539660648835,4.9,78,300,6120,2026-09-01,2026-09-02,2,,,,,,
339,22061,輕山居,苗栗縣,通霄鎮,民宿,苗栗縣通霄鎮福興里10鄰福興112之33號,0933206929-,,https://maps.google.com/?cid=4104045769363504648,4.7,78,300,8100,2026-09-01,2026-09-02,2,,,,,,
340,28628,有間寓背包旅宿民宿,澎湖縣,湖西鄉,民宿,澎湖縣湖西鄉沙港村19鄰沙港1之5號,0913137751,,https://maps.google.com/?cid=4947395883630902636,4.9,76,300,9000,2026-09-01,2026-09-02,2,,,,,,
341,2962,蟬說希臘,金門縣,金寧鄉,民宿,金門縣金寧鄉伯玉路二段446巷2弄6號,0955708881,,https://maps.google.com/?cid=8752936513328590459,4.9,76,300,10800,2026-09-01,2026-09-02,2,,,,,,
342,33170,良辰吉日民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市西衛里263號,0937604102,,https://maps.google.com/?cid=7030966131587552103,5,75,300,9000,2026-09-01,2026-09-02,2,,,,,,
343,36205,熊讚民宿,花蓮縣,玉里鎮,民宿,花蓮縣玉里鎮中城里2鄰忠孝路89號,098272868503-8886282,,https://maps.google.com/?cid=11036203168327133294,5,75,300,5400,2026-09-01,2026-09-02,2,,,,,,
344,35277,有間民宿,屏東縣,恆春鎮,民宿,屏東縣恆春鎮恆公路668巷5號,0968966464-,,https://maps.google.com/?cid=2366582293042158774,4.5,73,300,3150,2026-09-01,2026-09-02,2,,,,,,
345,34396,鳥藝古厝民宿,金門縣,金城鎮,民宿,金門縣金城鎮前水頭6號,0987210175-,https://www.facebook.com/stone.floor.house,https://maps.google.com/?cid=14757948432805689690,5,73,300,10800,2026-09-01,2026-09-02,2,,,,,,
