序號,hohi_id,旅宿名稱,縣市,鄉鎮市區,業別,地址,電話,官網,Google地圖,Google評分,評論數,合理價格下限,合理價格上限,查詢入住日,查詢退房日,人數,平日雙人房價,房型名稱,來源平台,結果,查核日期,備註
257,34473,漁宅文旅,屏東縣,東港鎮,民宿,屏東縣東港鎮水源二街2號,0919209016-,,https://maps.google.com/?cid=5286837325486255817,4.9,134,300,7200,2026-09-01,2026-09-02,2,1938,,Booking.com,已查到,2026-08-24,SerpApi 抽驗確認
258,10691,驫風民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市東衛里2鄰東衛26之9號,097234371606-9211692,,https://maps.google.com/?cid=7078989989022955839,4.5,132,300,3600,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
259,3342,伯爵農莊民宿,花蓮縣,吉安鄉,民宿,花蓮縣吉安鄉稻香村稻興一街88號,093348785803-8549737,,https://maps.google.com/?cid=6665466143936421294,4.3,132,300,1800,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
260,27251,風仙廬香草園民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市西文里11鄰西文澳97之68號,0978216790,,https://maps.google.com/?cid=3991918036904112597,4.9,131,300,4320,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
261,20755,晴光部落民宿,澎湖縣,馬公市,民宿,澎湖縣馬公市鎖港里鎖管港1886號,06-9950838,http://www.facebook.com/1886loma,https://maps.google.com/?cid=3087299157275471333,5.0,130,300,2880,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
262,32527,鹹菜巷8號,臺南市,中西區,民宿,臺南市中西區開山路122巷56弄8號,0919918089-,https://www.pickle8.tw/,https://maps.google.com/?cid=16934329174018503001,5.0,130,300,16200,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
263,31176,千和居,臺南市,安平區,民宿,臺南市安平區州平二街2之6號,0930803301-,https://ab0930803301.wixsite.com/j666,https://maps.google.com/?cid=11460891178131728224,5.0,129,300,10800,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
264,27533,巧人文旅民宿,南投縣,魚池鄉,民宿,南投縣魚池鄉魚池村新店巷25之18號,0905273195-,,https://maps.google.com/?cid=14251391344503668902,4.9,129,300,4752,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
265,13574,懷鄉園渡假別墅,宜蘭縣,礁溪鄉,民宿,宜蘭縣礁溪鄉二龍村淇武蘭路12-1號,0912871476,,https://maps.google.com/?cid=2532474699982047239,4.6,128,300,5400,2026-09-01,2026-09-02,2,,,,平台無此旅宿,2026-08-25,
266,10846,薇嬁民宿,宜蘭縣,羅東鎮,民宿,宜蘭縣羅東鎮新群里月眉路443號,098752888603-9601368,,https://maps.google.com/?cid=15770330386076151870,4.7,128,300,5400,2026-09-01,2026-09-02,2,,,,當日售完,2026-08-25,
